epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1466.25,1.19851,2.15279,1.52928,0.51982,0.24296,0.28303,0.1159,1.70275,2.84933,1.96058,0.000654321,0.000654321,0.000654321
2,2806.82,1.33819,2.06283,1.63892,0.23745,0.30534,0.1865,0.06108,1.88889,2.94911,2.11574,0.00129483,0.00129483,0.00129483
3,4435.22,1.40243,2.04673,1.65821,0.06746,0.10382,0.0305,0.00832,2.77826,3.91776,2.86777,0.00190894,0.00190894,0.00190894
4,5774.85,1.3946,2.0184,1.67872,0.24304,0.25496,0.17234,0.07,1.9812,2.97236,2.27759,0.0018812,0.0018812,0.0018812
5,7253.78,1.40545,1.93174,1.6901,0.40153,0.31145,0.24782,0.0952,2.03738,2.75707,2.20482,0.0018416,0.0018416,0.0018416
6,8588.36,1.34221,1.8344,1.63724,0.42235,0.39847,0.34397,0.16728,1.62789,2.24543,1.9221,0.001802,0.001802,0.001802
7,9940.42,1.37693,1.8597,1.656,0.44855,0.37557,0.3381,0.15427,1.73328,2.28414,1.99403,0.0017624,0.0017624,0.0017624
8,11275.1,1.34596,1.82563,1.6694,0.48672,0.41527,0.33905,0.158,1.67491,2.4441,2.02841,0.0017228,0.0017228,0.0017228
9,12622.2,1.33669,1.82762,1.63644,0.46817,0.38437,0.37316,0.17823,1.75696,2.33595,1.96245,0.0016832,0.0016832,0.0016832
10,14146.6,1.32771,1.78154,1.63552,0.55259,0.41069,0.44738,0.22056,1.62578,2.06986,1.94373,0.0016436,0.0016436,0.0016436
11,15520.1,1.30279,1.77217,1.59784,0.54759,0.40916,0.44987,0.22609,1.55601,2.01135,1.82954,0.001604,0.001604,0.001604
12,16878.5,1.24936,1.68506,1.56231,0.66829,0.40916,0.45473,0.23288,1.57835,2.20774,1.84864,0.0015644,0.0015644,0.0015644
13,18229.6,1.26404,1.72237,1.58663,0.58142,0.41679,0.47336,0.24676,1.52347,1.95298,1.81344,0.0015248,0.0015248,0.0015248
14,19564.9,1.2243,1.6799,1.56755,0.66928,0.3893,0.47659,0.2665,1.55106,1.89329,1.82198,0.0014852,0.0014852,0.0014852
